current_colname,mod_colname
Q1,Consent
Q9,TraQ1
Q10,TraQ2
Q11,TraQ3
Q17,Section2Q1
Q21,Section2Q2
Q18,Section2Q3
Q29,Section2Q4
Q20,Section2Q5
Q21.1,Section_3_Q1_overall_self_confidence
Q23_1,Section3_StrategicThinkingi.
Q23_2,Section3_StrategicThinkingii.
Q23_3,Section3_StrategicThinkingiii.
Q23_4,Section3_SystemsThinkingi.
Q23_5,Section3_SystemsThinkingii.
Q23_6,Section3_SystemsThinkingiii.
Q23_7,Section3_FutureThinkingi.
Q23_8,Section3_FutureThinkingii.
Q23_9,Section3_FutureThinkingiii.
Q23_10,Section3_ValuesThinkingi.
Q23_11,Section3_ValuesThinkingii.
Q23_12,Section3_ValuesThinkingiii.
Q22_1,Section_3_Q3_Training_Impact_Systems_Thinking
Q22_2,Section_3_Q3_Training_Impact_Future_Thinking
Q22_3,Section_3_Q3_Training_Impact_Strategic_Thinking
Q22_4,Section_3_Q3_Training_Impact_Values_Thinking
Q24,ObjQ1
Q25,ObjQ2
